izvajalec,drzava,leto_rojstva
Chris Young,United States,1985
Nelly,United States,1974
Mooski,United States,
Coi Leray,United States,1997
Duncan Laurence,Netherlands,1994
Niko Moon,United States,1982
Project Pat,United States,1973
Parmalee,United States,
Brenda Lee,United States,1944
Ritt Momney,United States,1999
Cole Swindell,United States,1983
Lainey Wilson,United States,1992
Brs Kash,United States,1993
Rauw Alejandro,Puerto Rico,1993
Latto,United States,1998
Elton John,United Kingdom,1947
JID,United States,1990
Gayle,United States,2004
Chencho Corleone,Puerto Rico,1979
Kate Bush,United Kingdom,1958
Carolina Gaitán,Colombia,1984
Mauro Castillo,,
Adassa,United States,1987
Rhenzy Feliz,United States,
Diane Guerrero,United States,1986
Stephanie Beatriz,Argentina,1981
the,,
Encanto,,
cast,,
Steve Lacy,United States,1998
Nicky Youre,United States,1999
Dazy,,
Em Beihold,United States,1999
Cody Johnson,United States,1987
OneRepublic,United States,
Zach Bryan,United States,1996
Jordan Davis,United States,1988
Dove Cameron,United States,1996
Joji,,
Jessica Darrow,United States,1995
Bailey Zimmerman,United States,2000
CKay,Nigeria,1995
Muni Long,,1988
Becky G,,1997
Karol G,Colombia,1991
Tyler Hubbard,United States,1987
Neiked,Sweden,
Mae Muller,United Kingdom,1997
The Anxiety,,
Willow,United States,2000
Tyler Cole,,
Lauren Spencer-Smith,,2003
Bobby Helms,United States,1933
Bomba Estéreo,Colombia,
Burl Ives,United States,1909
Russell Dickerson,United States,1987
Jake Scott,,
Scotty Mccreery,United States,1993
Jon Pardi,United States,1985
Ernest,United States,1992
Jnr Choi,,1999
Sam Tompkins,,
Kim Petras,Germany,1992
Rema,Nigeria,2000
PinkPantheress,United Kingdom,2001
Ice Spice,United States,2000
Toosii,United States,2000
Katelyn Brown,United States,1993
Eslabon Armado,United States,
Peso Pluma,Mexico,1999
Jelly Roll,,1984
Yng Lvcas,Mexico,1999
Jvke,United States,2001
Fifty Fifty,South Korea,
Aqua,Denmark,
Raye,United Kingdom,1997
070 Shake,,
Grupo Frontera,United States,
Stephen Sanchez,,2002
Hardy,United States,1990
David Kushner,United States,2000
Shakira,Colombia,1977
Megan Moroney,United States,1997
GloRilla,United States,1999
Fuerza Regida,United States,
Kacey Musgraves,United States,1988
Doechii,United States,1998
Oliver Anthony Music,,1992
Noah Kahan,United States,1997
Jung Kook,South Korea,1997
Wham!,United Kingdom,
Parker Mccollum,United States,1992
Kaliii,United States,2000
Natanael Cano,Mexico,2001
Corey Kent,United States,1994
Young Nudy,United States,1992
Bizarrap,Argentina,1998
Teddy Swims,United States,1992
Shaboozey,United States,1995
Benson Boone,United States,2002
Sabrina Carpenter,United States,1999
Tommy Richman,United States,2000
Chappell Roan,United States,1998
Tyla,South Africa,2002
Dasha,United States,2000
Jessie Murph,United States,2004
¥$,,
Sexyy Red,United States,1998
Djo,United States,1992
Flo Milli,United States,2000
